COD_EDO,EDO,COD_MUN,MUN,COD_PAR,PAR,CENTRO,MESA,VOTOS_VALIDOS,VOTOS_NULOS,EG,NM,LM,JABE,JOBR,AE,CF,DC,EM,BERA,URL,,,,,,
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101001,1,449,0,323,114,3,1,0,1,1,2,0,4,https://static.resultadosconvzla.com/408106_205969_0184Acta0184.jpg,,,,,,
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101001,2,416,0,271,137,2,0,1,3,0,0,1,1,https://static.resultadosconvzla.com/408106_073085_0185Acta0185.jpg,,,,,,
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101001,3,468,0,325,123,4,0,1,4,3,0,1,7,https://static.resultadosconvzla.com/408106_749435_0186Acta0186.jpg,,,,,,
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101002,1,448,0,322,118,1,1,1,1,0,0,1,3,https://static.resultadosconvzla.com/408106_375657_0157Acta0157.jpg,,,,,,
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101002,2,455,0,290,144,1,1,1,7,1,0,2,8,https://static.resultadosconvzla.com/408106_777262_0158Acta0158.jpg,,,,,,
4,EDO. ARAGUA,8,MP. ZAMORA,137,PQ. PQ AUGUSTO MIJARES,40805005,1,397,0,201,184,4,0,3,1,0,1,0,3,https://static.resultadosconvzla.com/706419_229592_0179Acta0179.jpg,,,,,,
4,EDO. ARAGUA,9,MP. LIBERTADOR,138,CM. PALO NEGRO,40901001,1,571,0,399,146,4,1,0,14,0,2,2,3,https://static.resultadosconvzla.com/771068_901831_0130Acta0128.jpg,,,,,,
4,EDO. ARAGUA,9,MP. LIBERTADOR,138,CM. PALO NEGRO,40901001,2,595,0,402,165,7,1,3,10,0,1,4,2,https://static.resultadosconvzla.com/771068_727572_0131Acta0129.jpg,,,,,,
4,EDO. ARAGUA,9,MP. LIBERTADOR,138,CM. PALO NEGRO,40901001,3,587,0,420,134,4,1,1,20,2,0,1,4,https://static.resultadosconvzla.com/771068_135874_0132Acta0130.jpg,,,,,,
4,EDO. ARAGUA,9,MP. LIBERTADOR,138,CM. PALO NEGRO,40901001,4,565,0,397,145,4,0,1,9,4,1,1,3,https://static.resultadosconvzla.com/771068_833907_0133Acta0131.jpg,,,,,,
4,EDO. ARAGUA,9,MP. LIBERTADOR,138,CM. PALO NEGRO,40901002,1,447,0,327,100,9,1,1,6,1,0,0,2,https://static.resultadosconvzla.com/771068_294511_0120Acta0118.jpg,,,,,,
